"","Behavior 0","Behavior 1","Mating ID"
"1","Abdomen Tapping","Leg Showcase","g1.H30xH71"
"2","Leg Showcase","Freezing","g1.H30xH71"
"3","Freezing","Leg Showcase","g1.H30xH71"
"4","Leg Showcase","Freezing","g1.H30xH71"
"5","Freezing","Leg Showcase","g1.H30xH71"
"6","Leg Showcase","Freezing","g1.H30xH71"
"7","Freezing","Leg Showcase","g1.H30xH71"
"8","Leg Showcase","Freezing","g1.H30xH71"
"9","Freezing","Leg Showcase","g1.H30xH71"
"10","Leg Showcase","Freezing","g1.H30xH71"
"11","Freezing","Leg Showcase","g1.H30xH71"
"12","Leg Showcase","Abdomen Tapping","g1.H30xH71"
"13","Abdomen Tapping","Leg Showcase","g1.H30xH71"
"14","Leg Showcase","Leg Showcase + Pedipalp Showcase","g1.H30xH71"
"15","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.H30xH71"
"16","Leg Showcase","Leg Showcase + Pedipalp Showcase","g1.H30xH71"
"17","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.H30xH71"
"18","Leg Showcase","Leg Showcase + Pedipalp Showcase","g1.H30xH71"
"19","Leg Showcase + Pedipalp Showcase","Freezing","g1.H30xH71"
"20","Freezing","Leg Showcase","g1.H30xH71"
"21","Leg Showcase","Freezing","g1.H30xH71"
"22","Freezing","Abdomen Tapping","g1.H30xH71"
"23","Abdomen Tapping","Leg Showcase","g1.H30xH71"
"24","Leg Showcase","Freezing","g1.H30xH71"
"25","Freezing","Leg Showcase","g1.H30xH71"
"26","Leg Showcase","Freezing","g1.H30xH71"
"27","Freezing","Leg Showcase","g1.H30xH71"
"28","Leg Showcase","Freezing","g1.H30xH71"
"29","Freezing","Leg Showcase","g1.H30xH71"
"30","Leg Showcase","Abdomen Tapping","g1.H30xH71"
"31","Abdomen Tapping","Leg Showcase","g1.H30xH71"
"32","Leg Showcase","Freezing","g1.H30xH71"
"33","Freezing","Abdomen Tapping","g1.H30xH71"
"34","Abdomen Tapping","Freezing","g1.H30xH71"
"35","Freezing","Leg Showcase","g1.H30xH71"
"36","Leg Showcase","Freezing","g1.H30xH71"
"37","Freezing","Abdomen Tapping","g1.H30xH71"
"38","Abdomen Tapping","Leg Showcase","g1.H30xH71"
"39","Leg Showcase","Freezing","g1.H30xH71"
"40","Freezing","Leg Showcase","g1.H30xH71"
"41","Leg Showcase","Freezing","g1.H30xH71"
"42","Freezing","Leg Showcase","g1.H30xH71"
"43","Leg Showcase","Freezing","g1.H30xH71"
"44","Freezing","Leg Showcase","g1.H30xH71"
"45","Leg Showcase","Abdomen Tapping","g1.H30xH71"
"46","Abdomen Tapping","Leg Showcase","g1.H30xH71"
"47","Leg Showcase","Retreat","g1.H30xH71"
"48","Retreat","Freezing","g1.H30xH71"
"49","Freezing","Leg Showcase","g1.H30xH71"
"50","Leg Showcase","Freezing","g1.H30xH71"
"51","Freezing","Leg Showcase","g1.H30xH71"
"52","Leg Showcase","Freezing","g1.H30xH71"
"53","Freezing","Abdomen Tapping","g1.H30xH71"
"54","Abdomen Tapping","Freezing","g1.H30xH71"
"55","Freezing","Leg Showcase","g1.H30xH71"
"56","Leg Showcase","Freezing","g1.H30xH71"
"57","Freezing","Leg Showcase","g1.H30xH71"
"58","Leg Showcase","Abdomen Tapping","g1.H30xH71"
"59","Abdomen Tapping","Leg Showcase","g1.H30xH71"
"60","Leg Showcase","Freezing","g1.H30xH71"
"61","Freezing","Leg Showcase","g1.H30xH71"
"62","Leg Showcase","Freezing","g1.H30xH71"
"63","Freezing","Leg Showcase","g1.H30xH71"
"64","Leg Showcase","Leg Showcase + Pedipalp Showcase","g1.H30xH71"
"65","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.H30xH71"
"66","Leg Showcase","Freezing","g1.H30xH71"
"67","Freezing","Leg Showcase","g1.H30xH71"
"68","Leg Showcase","Freezing","g1.H30xH71"
"69","Freezing","Leg Showcase","g1.H30xH71"
"70","Leg Showcase","Freezing","g1.H30xH71"
"71","Freezing","Leg Showcase","g1.H30xH71"
"72","Leg Showcase","Freezing","g1.H30xH71"
"73","Freezing","Leg Showcase","g1.H30xH71"
"74","Leg Showcase","Freezing","g1.H30xH71"
"75","Freezing","Leg Showcase","g1.H30xH71"
"76","Leg Showcase","Freezing","g1.H30xH71"
"77","Freezing","Leg Showcase","g1.H30xH71"
"78","Leg Showcase","Abdomen Tapping","g1.H30xH71"
"79","Abdomen Tapping","Leg Showcase","g1.H30xH71"
"80","Leg Showcase","Freezing","g1.H30xH71"
"81","Freezing","Leg Showcase","g1.H30xH71"
"82","Leg Showcase","Freezing","g1.H30xH71"
"83","Freezing","Leg Showcase","g1.H30xH71"
"84","Leg Showcase","Freezing","g1.H30xH71"
"85","Freezing","Leg Showcase","g1.H30xH71"
"86","Leg Showcase","Leg Showcase + Pedipalp Showcase","g1.H30xH71"
"87","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.H30xH71"
"88","Leg Showcase","Freezing","g1.H30xH71"
"89","Freezing","Leg Showcase","g1.H30xH71"
"90","Leg Showcase","Freezing","g1.H30xH71"
"91","Freezing","Leg Showcase","g1.H30xH71"
"92","Leg Showcase","Retreat","g1.H30xH71"
"93","Retreat","Freezing","g1.H30xH71"
"94","Freezing","Retreat","g1.H30xH71"
"95","Retreat","Freezing","g1.H30xH71"
"96","Freezing","Leg Showcase","g1.H30xH71"
"97","Leg Showcase","Freezing","g1.H30xH71"
"98","Freezing","Leg Showcase","g1.H30xH71"
"99","Leg Showcase","Freezing","g1.H30xH71"
"100","Freezing","Leg Showcase","g1.H30xH71"
"101","Leg Showcase","Freezing","g1.H30xH71"
"102","Freezing","Leg Showcase","g1.H30xH71"
"103","Leg Showcase","Abdomen Tapping","g1.H30xH71"
"104","Abdomen Tapping","Leg Showcase","g1.H30xH71"
"105","Leg Showcase","Freezing","g1.H30xH71"
"106","Freezing","Leg Showcase","g1.H30xH71"
"107","Leg Showcase","Freezing","g1.H30xH71"
